
date, cycles, session cycles, up time, motor temp, ambient temp, 

New Session: 10/16 09:37
date, cycles, session cycles, up time, motor temp, ambient temp, 
10/21 14:37, 165, 65, 10, 76, 72, 
10/21 14:38, 165, 65, 10, 76, 72, 
10/21 14:39, 165, 65, 10, 76, 72, 
10/21 14:40, 165, 65, 10, 76, 72, 
10/21 14:41, 165, 65, 10, 76, 72, 
10/21 14:42, 165, 65, 10, 76, 72, 
10/21 14:43, 165, 65, 10, 75, 72, 
10/21 14:44, 165, 65, 10, 76, 73, 
10/21 14:45, 165, 65, 10, 76, 73, 
10/21 14:46, 165, 65, 10, 76, 73, 
10/21 14:47, 165, 65, 10, 76, 73, 
10/21 14:48, 165, 65, 10, 76, 73, 
10/21 14:49, 165, 65, 10, 76, 73, 
10/21 14:50, 165, 65, 10, 76, 73, 
10/21 14:51, 165, 65, 10, 76, 73, 
10/21 14:52, 165, 65, 10, 75, 73, 
10/21 14:53, 165, 65, 10, 76, 73, 
10/21 14:54, 165, 65, 10, 76, 73, 
10/21 14:55, 165, 65, 10, 76, 72, 
10/21 14:56, 165, 65, 10, 76, 72, 
10/21 14:57, 165, 65, 10, 76, 72, 
10/21 14:58, 165, 65, 10, 76, 72, 
10/21 14:59, 165, 65, 10, 76, 72, 
10/21 15:00, 165, 65, 10, 76, 72, 
10/21 15:01, 165, 65, 10, 76, 72, 
10/21 15:02, 165, 65, 10, 76, 72, 

New Session: 10/21 15:05
date, cycles, session cycles, up time, motor temp, ambient temp, 
10/21 15:06, 165, 0, 0, 76, 73, 
10/21 15:07, 166, 1, 10, 73, 73, 
10/21 15:08, 167, 2, 10, 71, 73, 

New Session: 10/21 15:15
date, cycles, session cycles, up time, motor temp, ambient temp, 
10/21 15:16, 167, 0, 0, 71, 73, 
10/21 15:17, 167, 0, 0, 71, 73, 
10/21 15:18, 167, 0, 0, 70, 72, 
10/21 15:19, 167, 0, 0, 69, 72, 
10/21 15:20, 167, 0, 0, 70, 72, 
10/21 15:21, 167, 0, 0, 70, 72, 
